Organization/Person Name,Contact Email
Mangrove Capital Partners,deals@mangrove.vc
DOB Equity,Deanbridges99@gmail.com
Deutsche Bank,deutsche.bank@db.com
Orange Ventures,digital.ventures@orange.com
KPMG,digital@kpmg.com
Barclays Eagle Labs,DPO@Barclays.com
Seraphim Space,ea@seraphim.vc
EASO Ventures,easo@easoventures.com
Anthemis,ecosystemteam@anthemis.com
Brandenburg Kapital,eigenkapital@ilb.de
EDFI ElectriFI,electrifi@edfimc.eu
Eleven Ventures,eleven@11.me
AgileGTM Capital,email@agilegtm.vc
Propel Capital,emanuel.andersson@sting.co
BNP Paribas,enquiries@au.bnpparibas.com
Cambridge Innovation Capital,enquiries@cic.vc
Equity Gap,enquiries@equitygap.co.uk
Hiro Capital,enquiries@hiro.capital
Oxford University Innovation,enquiries@innovation.ox.ac.uk
Maven Capital Partners,enquiries@mavencp.com
Midven,enquiries@midven.com
Parkwalk Advisors,enquiries@parkwalkadvisors.com
Scottish Enterprise,enquiries@scotent.co.uk
Scottish Equity Partners,enquiries@sep.co.uk
True.,enquiries@true.global
UK Innovation & Science Seed Fund,enquiries@UKI2S.co.uk
Intellectual Labs AS,enquiry@intellectuallabs.no
Invest Northern Ireland,eo@investni.com
Enterprise Ireland,equitydept@enterprise-ireland.com
The Yield Lab Europe,europe@theyieldlab.com
Explorer Investments,explorer@explorerinvestments.com
Bpifrance,F3A@bpifrance.fr
Spintop Ventures,finn.persson@spintopventures.com
14Peaks Capital,founders@14peaks.capital
First Momentum Ventures,founders@firstmomentum.vc
Frumtak Ventures,frumtak@frumtak.is
Flow Traders,fscholten@flowtraders.com
Arya Ventures,fund@aryawomen.com
Nova Growth Capital,fund@novagrowthcapital.co.uk
MMC Ventures,fundenquiries@mmc.vc
VI Partners,funding@vipartners.ch
The FSE Group,fundingenquiries@thefsegroup.com
Giesecke+Devrient Ventures,gdventures@gi-de.com
Beta-i,geral@beta-i.com
BlueCrow Capital,geral@bluecrowcapital.com
Caixa Capital,geral@caixacapital.pt
Redcliffe Capital,getintouch@redcliffecapital.com
Startuplab,gisle@startuplab.no
Deloitte,globalwebmaster@deloitte.com
Flyer One Ventures,go@flyerone.vc
GSR,gsr@gsr.io
Ampli Ventures,hannah@ampli.vc
Nestcoin,Haroldcarey888@gmail.com
70Ventures,hello@70ventures.com
ADV,hello@accelerated.ventures
Acurio Ventures,hello@acurio.vc
AENU,hello@aenu.com
Alliance VC,hello@alliance.vc
AMAVI Capital,hello@amavi.capital
Apeiron Venture Capital,hello@apeiron.vc
APX,hello@apx.vc
AwakenAngels,hello@awakenangelshq.com.
Bethnal Green Ventures,hello@bethnalgreenventures.com
Blazar Capital,hello@blazarcapital.com
Block Dojo,hello@blockdojo.io
Blockwall,hello@blockwall.vc
Blossom Capital,hello@blossomcap.com
C4 Ventures,hello@c4v.com
Calm/Storm Ventures,hello@calmstorm.vc
Celsius Network,hello@celsius.network
Crowberry Capital,hello@crowberrycapital.com
Curiosity VC,hello@curiosityvc.com
CV VC,hello@cvvc.com
Czech Founders VC,hello@czechfounders.vc
Deep Science Ventures,hello@deepscienceventures.com
Demium,hello@demium.com
Dozen Investments,hello@dozeninvestments.com
Deeptech Labs,hello@dtl.vc
Dutch Operator Fund I,hello@dutchoperatorfun.nl
Early Game Ventures,hello@earlygame.vc
Eden Block,hello@edenblock.com
EPTI,hello@epti.com
Exceptional Ventures,hello@exceptional.ventures
Extension Fund,hello@extensionfund.com
FIRSTPICK,hello@firstpick.vc
Flashpoint,hello@flashpointvc.com
Foundamental,hello@foundamental.com
Founders Capital,hello@founders-capital.com
Founders Factory,hello@foundersfactory.com
Funderbeam,hello@funderbeam.com
Galion.exe,hello@galion.exe.vc
Greencode Ventures,hello@greencode.vc
Haatch,hello@haatch.com
Hummingbird Ventures,hello@hummingbird.vc
Inventure,hello@inventure.vc
IQ Capital,hello@iqcapital.vc
Join Capital,hello@join.capital
Odin,hello@joinodin.com
Kärtel Labs,hello@kartellabs.com
Katapult,hello@katapult.vc
Katapult Ocean,hello@katapultocean.com
Kibo Ventures,hello@kiboventures.com
Kindred Capital,hello@kindredcapital.vc
Launchbay Capital,hello@launchbaycapital.com
Legion Ventures,hello@legion.ventures
L Marks,hello@lmarks.com
Lunar Ventures,hello@lunarventures.eu
Matter Labs,hello@matter-labs.de
maze impact,hello@maze-impact.com
Monzo,hello@monzo.com
Mosaic Ventures,hello@mosaicventures.com
NBS Ventures,hello@nbsventures.co.uk
Next Mobility Labs,hello@nextmobilitylabs.com
Northstar Ventures,hello@northstarventures.co.uk
Otium Capital,hello@otiumcapital.com
Oxford Science Enterprises,hello@oxfordsciences.com
Playfair Capital,hello@playfair.vc
Portfolio Ventures,hello@portfolio.ventures
Presto Ventures,hello@prestoventures.com
Public,hello@public.io
Shaping Impact Group,hello@shapingimpact.group
Simon Capital,hello@simoncapital.com
SNÖ Ventures,hello@sno.vc
Social Tech Trust,hello@socialtechtrust.org
Soulmates Ventures,hello@soulmatesventures.com
Springboard Health Angels,hello@springboardangels.com
SuperCharger Ventures,hello@superchargerventures.com
Cosmos Network,hello@tendermint.com
Creator Fund,hello@thecreatorfund.com
Tomahawk.VC,hello@tomahawk.vc
Transition,hello@transition.vc
Unconventional Ventures,hello@unconventional.vc
Vanora Ventures,hello@vanoraventures.com
Vireo Ventures,hello@vireo.vc
Wind,hello@wind.capital
Zama,hello@zama.ai
ZAS Ventures,hello@zas.ventures
Apollo Crypto,henrik@apollocap.io
VEF,henrik@vef.vc
ZAKA VC,hey@zaka.vc
Amino Collective,hi@aminocollective.com
J12,hi@j12ventures.com
New Renaissance Ventures,hi@nr.ventures
Titanium Investments,hi@titanium.vc
Visionaries Club,hi@visionariesclub.vc
UKSE,ho@ukse.co.uk
Antai Ventures,hola@antaivb.com
Zubi Capital,hola@zubicapital.com
1991 Ventures,i@1991.vc
Alesta Yatırım,ibrahim.ozer@alestayatirim.com
Nesta Impact Investments,impactinvesting@nesta.org.uk
NatWest Group,in.service@rbs.com
Balderton Capital,inbound@balderton.com
Everstake,inbox@everstake.one
WILCO,industry@wilco-ambitions.com
Bosch Ventures,Info.RBVC@de.bosch.com
212,info@212.vc
360 Capital,info@360cap.vc
42CAP,info@42cap.com
Abbey Road Studios,info@abbeyroad.com
Atlantic Bridge,info@abven.com
Accelerace,info@accelerace.io
Act Venture Capital,info@actvc.ie
Actyus,info@actyus.com
Adara Ventures,info@adara.vc
Advanced Blockchain,info@advancedblockchain.com
Agronomics,info@agronomics.im
Ahren Innovation Capital,info@ahren.co.uk
Alpana Ventures,info@alpana-ventures.ch
Alsace Business Angels,info@alsacebusinessangels.com
Amadeus Capital Partners,info@amadeuscapital.com
Ananda Impact Ventures,info@ananda.vc
ACF Investors,info@angelcofund.co.uk
Angel One,info@angelone.fund
Angels Capital,info@angelscapital.es
Angular Ventures,info@angularventures.com
APEX Capital,info@apex-cp.com
Armilar Venture Partners,info@armilar.com
Arts Alliance,info@artsalliance.co.uk
Ascension,info@ascension.vc
Astel Ventures,info@astelios.com
Atlantic,info@atlantic.vc
Banco Sabadell,info@bancsabadell.com
Barclays Corporate Banking,info@barclays.co.uk
Bayern Kapital,info@bayernkapital.de
Bcombinator Venture Partners,info@bcombinator.com
better ventures,info@betterventures.io
Big Sur Ventures,info@bigsurventures.vc
BioGeneration Ventures,info@biogeneration.vc
Bitfury Group,info@bitfury.com
Black Seed,info@blackseed.ventures
Blue Horizon Corporation,info@bluehorizon.com
Blue Wire Capital,info@bluewirecapital.com
bmp Ventures,info@bmp.com
bm-t beteiligungsmanagement thuringen,info@bm-t.com
Boğaziçi Ventures,info@bogaziciventures.com
BONVENTURE,info@bonventure.de
Bootstrap Europe,info@bootstrap-europe.com
BrightCap Ventures,info@brightcap.vc
British Business Bank,info@british-business-bank.co.uk
Northern Powerhouse Investment Fund,info@british-business-bank.co.uk
bValue Fund,info@bvaluefund.com
Baring Vostok Capital Partners,info@bvcp.ru
BY Venture Partners,info@byvp.com
Cambridge Angels group,info@cambridgeangels.net
CapHorn Invest,info@caphorn.vc
Capital Cell,info@capitalcell.net
Capnamic,info@capnamic.com
Carbon Removal Partners,info@carbonremoval.partners
Cardano Foundation,info@cardanofoundation.org
Chalmers Ventures AB,info@chalmersventures.com
ChromaWay,info@chromaway.com
Clarendon Fund Managers,info@clarendon-fm.co.uk
Clave,info@clave.capital
Club degli Investitori,info@clubdeglinvestitori.it
Coin Bureau,info@coinbureau.com
Coinsilium Group,info@coinsilium.com
COI Partners,info@coi-partners.com
Colendi,info@colendi.com
Commercialization Reactor,info@commercializationreactor.com
Companisto,info@companisto.com
Concentric,info@concentric.vc
Concrete Venture Capital,info@concretevc.com
Conexo Ventures,info@conexo.vc
Conviction VC,info@conviction-vc.com
coparion,info@coparion.vc
COREangels,info@coreangels.com
Creandum,info@creandum.com
Credix,info@credix.finance
Credo Ventures,info@credoventures.com
Crowdcube,info@crowdcube.com
CVC Capital Partners,info@cvc.com
Contrarian Ventures,info@cventures.vc
CVX Ventures,info@cvx.vc
Decelera,info@decelera.com
Deepbridge Capital,info@deepbridgecapital.com
Defactor,info@defactor.com
Delta Partners,info@deltapartners.com
Development Bank of Wales,info@developmentbank.wales
Digital Catapult,info@digicatapult.org.uk
Digital Magics,info@digitalmagics.com
Draper B1,info@draperb1.vc
Eleving Group,info@eleving.com
E-Merge,info@emerge.be
ENA Venture Capital,info@ena.vc
ENISA,info@enisa.es
Enry's Island SpA,info@enrysisland.com
Enso Finance,info@enso.finance
Episode 1,info@episode1.com
EquityPitcher Ventures,info@equitypitcher.com
Erste Bank,info@erstebank.rs
Esas Ventures,info@esasventures.com
EUREKA! Venture SGR,info@eurekaventure.it
Expeditions,info@expeditionsfund.com
Expon Capital,info@exponcapital.com
Fabric Ventures,info@fabric.vc
Faraday Venture Partners,info@faraday.es
Fashion For Good,info@fashionforgood.com
FEXCO,info@fexco.com
Fil Rouge Capital (FRC),info@filrougecapital.com
Finance Yorkshire,info@finance-yorkshire.com
Finch Capital,info@finchcapital.com
FinLab,info@finlab.de
FINTECH Circle,Info@fintechcircle.com
Flash Ventures,info@fl4sh.vc
Force Over Mass Capital,info@fomcap.com
Fonbulucu,info@fonbulucu.com
FONGIT,info@fongit.ch
Form Ventures,info@formventures.vc
Founder One,info@founderone.com
Frontline Ventures,info@frontline.vc
FTTF,info@fttf.eu
Future Planet Capital,info@futureplanetcapital.com
Futury Capital,info@futurycapital.vc
G-20 Group,info@g20strategies.com
Galata Business Angels,info@galatabusinessangels.com
German Media Pool,info@gmpvc.com
Gnosis,info@gnosis.pm
GGF,info@greengenfund.com
GreenTec Capital Partners,info@greentec-capital.com
Greyhound Capital,info@greyhoundcapital.com
Grow Venture Partners,info@growventurepartners.com
HBAN,info@hban.org
HCapital Partners,info@hcapital.pt
Heal Capital,info@healcapital.com
Hiventures,info@hiventures.hu
Hoxton Ventures,info@hoxton.vc
HTGF (High-Tech Gruenderfonds),info@htgf.de
HV Capital,info@hvcapital.com
IBB Ventures,info@ibbventures.de
Icebreaker.vc,info@icebreaker.vc
Investisseurs & Partenaires,info@ietp.com
IKIGAI,info@ikigaihub.it
Imbiba,info@imbiba.com
Infinitas Capital,info@infinitas-capital.com
Innovestor,info@innovestor.fi
InReach Ventures,info@inreachventures.com
Insitor Partners,info@insitorimpactasiafund.com
InspireXchange.nl,info@inspirexchange.nl
Intesa Sanpaolo,info@intesasanpaolo.com
Inveready,info@inveready.com
Invest International,info@investinternational.nl
Isai,info@isai.fr
Entrepreneurs First,info@joinef.com
J&T Ventures,info@jtventures.cz
Kale United,info@kaleunited.com
KAYA,info@kaya.vc
Keen Venture Partners,info@keenventurepartners.com
Keyrock,info@keyrock.eu
K Fund,info@kfund.vc
Kickfund,info@kickfund.ch
Kingsway Capital,info@kingswaycap.com
KT Portföy,info@ktportfoy.com.tr
LAUNCHub Ventures,info@launchub.com
Lazio Innova,info@lazioinnova.it
L-Bank,info@l-bank.de
LC Ventures,info@lcv.pt
Lead Ventures,info@leadventures.eu
LEA Partners,info@leapartners.de
Leapfunder,info@leapfunder.com
Lexham Partners,info@lexhampartners.com
LVP,info@londonvp.com
Lugus Capital,info@luguscapital.com
Lumen Ventures,info@lumen.ventures
Luminar Ventures,info@luminarventures.com
M&G Investments,info@mandg.co.uk
Marathon Venture Capital,info@marathon.vc
Material Ventures,info@material.ventures
Matterwave Ventures,info@matterwave.vc
Merantix Capital,info@merantix.com
Mercia Asset Management,info@mercia.co.uk
Mercia Fund Managers,info@merciafund.co.uk
Mercuri,info@mercuri.vc
Business Angels Fund,info@mesinvest.lt
Magnetic Capital,info@mgntc.com
MH Ventures,info@mhventures.io
Mintos,info@mintos.com
MITON,info@miton.cz
MobilityFund,info@mobility.fund
Momentum Global Ventures,info@momentum.ventures
Morphais,info@morphais.com
Movens Capital,info@movenscapital.com
Mustard Seed,info@mustardseedimpact.com
Myelin VC,info@myelin.vc
Nauta Capital,info@nautacapital.com
Nazca Capital,info@nazca.es
NDRC,info@ndrc.ie
Nekko Capital,info@nekko.vc
Neosfer,info@neosfer.com
Neptunia Invest,info@neptuniainvest.se
Nexus Ventures,info@nexus.ventures
Nordic Foodtech VC,info@nft.vc
NLC,info@nlc.health
noa,info@noavc.com
Norrsken VC,info@norrsken.vc
NorthInvest,info@northinvest.co.uk
Notion Capital,info@notion.vc
NovaCapital,info@novacapital.eu
Novator,info@novator.co.uk
NRW.BANK,info@nrwbank.de
Nuclio Venture Builder,info@nuclio.com
Octopus Ventures,info@octopusvnetures.com
One Planet Capital,info@oneplanet.capital
One planetcrowd,info@oneplanetcrowd.nl
OostNL,info@oostnl.nl
OpenOcean,info@openocean.vc
Osney Capital,info@osneycapital.com
P101,info@p101.it
Paper Ventures,info@paper.ventures
Par Equity,info@parequity.com
PARSIQ,info@parsiq.io
Pascual Innoventures,info@pascualinnoventures.com
Passion Capital,info@passioncapital.com
Picus Capital,info@picuscap.com
Pi Labs,info@pilabs.vc
Pitchdrive,info@pitchdrive.com
Piton Capital,info@pitoncap.com
Planet N Group of Companies,info@planetngroup.com
Pluto Digital,info@plutodigital.com
PMV,info@pmv.eu
Point Nine,info@pointninecap.com
Polymorphic Capital,info@polymorphic.capital
Portfolion Capital Partners,info@portfolion.hu
Practica Capital,info@practica.vc
PranaVentures,info@pranaventures.it
Prediction Capital,info@predictioncapital.vc
Primo Capital,info@primo.vc
Privilège Ventures,info@privilege-ventures.com
Project A Ventures,info@project-a.com
PT1,info@pt1.vc
Qbic Fund,info@qbic.fund
Qredo,info@qredo.com
Quonota Investments,info@quonota.com
Rancilio Cube Sicaf,info@ranciliocube.com
Raw Ventures,INFO@RAWVENTURES.COM
redalpine,info@redalpine.com
Redbus Ventures,info@redbus.uk
Redstone.VC,info@redstone.vc
Reflex Capital,info@reflexcapital.com
RePie Asset Management,info@re-pie.com
Resonance,info@resonance.ltd.uk
Revent,info@revent.vc
Revo Capital,info@revo.vc
RoboIT,info@roboit.it
Rocket Internet,info@rocket-internet.com
ROM Utrecht Region,info@romutrechtregion.nl
Runa Capital,info@runacap.com
Salica,info@salicainvest.com
SATUS Starter,info@satus.vc
Scientifica Venture Capital,info@scientifica.vc
SCVC,info@scvc.com
South Central Ventures,info@sc-ventures.com
Seaya,info@seayaventures.com
seed + speed Ventures,info@seedandspeed.de
Seedcamp,info@seedcamp.com
Seed Capital,info@seedcapital.dk
Seedstars,info@seedstars.com
Banca Sella,info@sella.it
Semantic Ventures,info@semantic.vc
Semapa Next,info@semapanext.com
SFC Capital,info@sfccapital.com
SHIFT Invest,info@shiftinvest.com
SICTIC,info@sictic.ch
Signals Venture Capital,info@signals.vc
SINTEF Venture AS,info@sintef.no
ŞirketOrtağım,info@sirketortagim.com
Sistem Global,info@sistemglobal.com.tr
Slingshot Ventures,info@slingshot.ventures
SmartCap,info@smartcap.ee
SmartFin,info@smartfinvc.com
Söderberg & Partners,info@soderbergpartners.se
SpeedUp Venture Capital Group,info@speedupgroup.com
Mastercard Start Path,info@startpath.com
Startup Bakery,info@startup-bakery.com
Startupbootcamp,info@startupbootcamp.org
StartupFon,info@startupfon.com
Startup Wise Guys,info@startupwiseguys.com
Startupxplore,info@startupxplore.com
StartupYard,info@startupyard.com
Suma Capital,info@sumacapital.com
Sun Finance Group,info@sunfinance.group
Sunfish Partners,info@sunfish.vc
Supernode Global,info@supernodeglobal.com
Sure Valley Ventures,info@surevalleyventures.com
Svea Ekonomi,info@sveaekonomi.se
Symvan Capital,info@symvancapital.com
Talis Capital,info@taliscapital.com
Target Global,info@targetglobal.vc
The Techshop,info@techshop.capital
Techstart Ventures,info@techstart.vc
TechVision Fund,info@techvision-fonds.de
Tenity,info@tenity.com
TGFS - Technologiegründerfonds Sachsen,info@tgfs.de
The Delta,info@thedelta.io
The Untitled Venture Company,info@theuntitled.net
Tilia Impact Ventures,info@tiliaimpactventures.cz
TIN Capital,info@tincapital.vc
TLcom Capital Partners,info@tlcomcapital.com
TMT Investments,info@tmtinvestments.com
tQuity,info@tquity.com
TrueSight Ventures,info@truesight.vc
Two Hop Ventures,info@twohop.ventures
United Ventures,info@unitedventures.it
Velo Partners,info@velopartners.co.uk
Vendep Capital,info@vendep.com
Vento,info@vento.ventures
VentureFriends,info@venturefriends.vc
Verve Ventures,info@verve.vc
Vestel Ventures,info@vestelventures.com
Volta Ventures,info@voltaventures.eu
WE International,info@wallonie-entreprendre.com
WebStart Bristol,info@webstartbristol.com
Wellstreet,info@wellstreet.vc
WENVEST Capital,info@wenvest.capital
Wille Finance,info@willefinance.com
Worth Capital,info@worthcapital.uk
YEoS Ventures,info@yeos.se
Yıldız Tekno GSYO,info@yildizteknogsyo.com
Zee Prime Capital,info@zeeprime.capital
Zephyr Angels,info@zephyr.mk
Zinc,info@zinc.vc
Zooga,info@zooga.vc
Zubr Capital,info@zubrcapital.com
Banco Bilbao Vizcaya Argentaria,infobbvaresponde@bbva.com
ICF Capital,infoifem@icf.cat
Debiopharm Innovation Fund,info-innovation@debiopharm.com
Turkey Development Fund,info-tkf@kalkinma.com.tr
InMotion Ventures,inmotion@jaguarlandrover.com
Laser Digital,inquiries@laserdigital.com
JamJar Investments,invest@jamjarinvestments.com
Skolkovo Foundation,invest@sk.ru
ZBS CAPITAL,invest@zbs.capital
Anaxago,investir@anaxago.com
RS Participaties,investment@rsparticipaties.nl
EIT Urban Mobility,investments@eiturbanmobility.eu
Banco BPM,investor.relations@bancobpm.it
Fasanara Capital,investor.relations@fasanara.com
Velocity Capital Advisors,investor-relations@velocity.co.com
CaixaBank,investors@caixabank.com
Indico Capital Partners,investors@indicocapital.com
SeedBlink,investors@seedblink.com
Schroders,investorservices@schroders.com
Arcario,ir@arcario.com
Lakestar,IR@lakestar.com
Wincent,ir@wincent.co
STARTGUIDE VC,jana.sedlakova@startguide.vc
Prototron,jana@prototron.ee
CapitalT,janneke@capitaltvc.com
Ship2B,jdeantonio@ship2bventures.com
Acrobator Ventures,joachim@acrobator.vc
Scalar North Capital,josh.drukarz@scalarnorthcapital.co.uk
Butterfly Ventures,juho@butterfly.vc
Bullnet Capital,julecia@bullnetcapital.com
First Degree Capital,kaan@firstdegree.capital
Aescuvest,kontakt@aescuvest.de
Innovation Fund Denmark,kontakt@innovationsfonden.dk
PFR Ventures,kontakt@pfrventures.pl
Simpact Ventures,kontakt@simpact.vc
Nickleby Capital,latika@nicklebycapital.com
NAP,lena@nap.vc
Hexa,love@hexa.cc
Catapult Ventures,mail@catapult-ventures.com
Sting,maria.ljungberg@sting.co
G-Force,marian@usegforce.com
AlbionVC,marketing@albion.capital
PeakBridge,martina@peakbridge.vc
IP Group,media@ipgroupplc.com
Ledger,media@ledger.com
nChain Group,media@nChain.com
Partech,media@partechpartners.com
Sberbank,media@sberbank.ru
Tezos Foundation,media@tezosfoundation.ch
Navus Ventures,Navus@lely.com
The Nordic Web Ventures,neil@thenordicweb.com
Sprints,network@sprints.com
Kärcher New Venture,newventure@de.kaercher.com
Superhero Capital,nexthero@superherocapital.com
Frenetik Priority,nuno.arroteia@gmail.com
DAO Maker,office.ceohq@gmail.com
Anterra Capital,office@anterracapital.com
Black Pearls VC,office@blackpearls.vc
Digital Ocean Ventures Starter,office@digitalocean.ventures
Enjoyventure Management,office@enjoyventure.de
eQventure,office@eqventure.com
aws Gründungsfonds,office@gruenderfonds.at
Invento Capital,office@inventocapital.pl
Market One Capital,office@moc.vc
PUSH VC,office@push.vc
Speedinvest,office@speedinvest.com
Unfold.vc,office@unfold.vc
Venionaire Capital,office@venionaire.com
Verdane,office@verdane.com
Insurtech Gateway,opensesame@insurtechgateway.com
ULTRA.VC,ops@ultra.vc
Node Capital,or@node.capital
Pangea Blockchain Fund,Pangea@pmbcgroup.com
Auxxo,partners@auxxo.de
Innovation Nest,partners@innovationnest.co
Ace Capital Partners,Paulgregory0000@gmail.com
UI Investissement,Paulgregory0000@gmail.com
FPE Capital,peenquiries@fpecapital.com
Gorilla Capital,petri@gorillacapital.fi
Inovexus,Philippe@Inovexus.com
Planetary Impact Ventures,pitch@planetary.dk.
PSV,pitch@preseedventures.dk
UVC Partners,pitch@uvcpartners.com
WePlay Ventures,play@weplayventures.com
Innovation Norway,post@innovasjonnorge.no
1kx,press@1kx.capital
Cherry Ventures,press@cherry.vc
EQT,press@eqtpartners.com
Italian Angels for Growth,press@italianangels.net
Polkadot,press@polkadot.network
Teya,press@teya.com
KBC,pressofficekbc@kbc.be
FunFair Ventures,projects@funfair.ventures
Capricorn Partners,proposals@capricorn.be
EvaCodes,public@evacodes.com
Barclays,quangthong005@gmail.com
LUMO labs,questions@lumolabs.io
Sarmayacar,raabta@sarmayacar.com
Export and Investment Fund,reception@eifo.dk
Scottish EDGE,richard.gibson@scottishedge.com
Satgana,romain@satgana.com
LocalGlobe,rose@localglobe.vc
SBX Capital,saoud@sbxcapital.co
Angelor,sebastien.bonte@angelor.fr
AVP,sebastien.loubry@avpcap.com
Seed Starter ČS,seed@csas.cz
Forward Partners,seed@forwardpartners.com
Oxford Seed Fund,seedfund@sbs.ox.ac.uk
Exor Ventures,seeds@exor.com
Seeds of Bravery,seedsofbravery@usf.com.ua
MVST:MG,shahar@mvstmg.com
Agence Française de Développement,site@afd.fr
SMOK Ventures,smok@smok.vc
Flossbach von Storch,socialmedia@fvsag.com
Zürcher Kantonal Bank,socialmedia@zkb.ch
